id;release_date;part_number;name_en;name_es;name_de;name_fr;description;notes;attributes;attributes_content_type
1;2026-03-31;not eventually because;fashion in huzzah;kiss slime;makeover small;why drat between;than;across er oof;../fake-data/blob/hipster.png;image/png
2;2026-03-30;creamy publicize;ouch chilly major;up;next made-up;fast;wrongly;hurtful;../fake-data/blob/hipster.png;image/png
3;2026-03-31;couch while;eek consequently;while;obedience considering quadruple;whose;impolite;brief than;../fake-data/blob/hipster.png;image/png
4;2026-03-31;yowza uh-huh pish;phooey if uh-huh;searchingly linear kiddingly;obediently;elastic fortunate;enraged blaring orchid;shrilly bewail including;../fake-data/blob/hipster.png;image/png
5;2026-03-30;geez;meh;broadly;knowledgeably treasure;homely lifestyle inconsequential;uncomfortable after unfinished;without;../fake-data/blob/hipster.png;image/png
6;2026-03-30;eminent;aged;when describe;whoa;provided after peninsula;eulogise while;wedge resource ouch;../fake-data/blob/hipster.png;image/png
7;2026-03-31;bathhouse hovercraft rusty;really ha;bah;deer ornery;lean ick;loudly beautifully;readily adolescent;../fake-data/blob/hipster.png;image/png
8;2026-03-31;gleefully bitterly;wavy shadowy apostrophize;quarterly brr however;spherical brightly;arraign even;once clinking;hmph;../fake-data/blob/hipster.png;image/png
9;2026-03-31;apostrophize uh-huh which;speedily;pretend;meh;under;fiercely boohoo;potentially director;../fake-data/blob/hipster.png;image/png
10;2026-03-30;important;woot;typify abaft executor;cutover;adventurously cleverly;incidentally;spotless;../fake-data/blob/hipster.png;image/png
11;2026-03-30;afore reward even;regarding so;greedily right;gee fortunate;utterly because mockingly;after tightly till;why yahoo;../fake-data/blob/hipster.png;image/png
12;2026-03-31;making;anti warmly kookily;damp forenenst really;meh phew;fooey healthily;silk artistic;plus besides generally;../fake-data/blob/hipster.png;image/png
13;2026-03-31;conjecture;punctuation until;insistent;lack painfully;duh against;medium;noted;../fake-data/blob/hipster.png;image/png
14;2026-03-31;about into zowie;eek;inasmuch below;boohoo;where;during crystallize;gosh broken plumber;../fake-data/blob/hipster.png;image/png
15;2026-03-31;fooey meanwhile;bashfully explode violently;justly promptly;perky;underplay pish;assail epic;eke speedy;../fake-data/blob/hipster.png;image/png
16;2026-03-31;aw onto;low svelte;cease above gallery;shakily muted vanish;garage red;consequently;notarize concerning that;../fake-data/blob/hipster.png;image/png
17;2026-03-31;make whether;coin content;through young meh;although though annual;ambitious from quickly;capitalise avalanche slime;prudent preheat uh-huh;../fake-data/blob/hipster.png;image/png
18;2026-03-31;yearly waterlogged gah;extroverted armchair;metabolise;corrupt frightfully midst;widow glaring;spanish murky after;summer;../fake-data/blob/hipster.png;image/png
19;2026-03-31;between ick courageously;row grave lumbering;voluntarily gosh rosemary;behind lest cruelly;juicy scowl;now sesame;hexagon save;../fake-data/blob/hipster.png;image/png
20;2026-03-31;primary courtroom yum;into for subexpression;sternly near;doubtfully perfectly;highlight by impact;general march;usefully;../fake-data/blob/hipster.png;image/png
21;2026-03-31;ocelot;apt ah seemingly;but apropos unselfish;after cheerfully woot;cruelly;to inasmuch stormy;meanwhile rue fellow;../fake-data/blob/hipster.png;image/png
22;2026-03-31;instead mash marketplace;rarely punctually aside;humiliating up;overconfidently exploration writhing;sparse gosh provision;dusk trouser whoa;provided that during;../fake-data/blob/hipster.png;image/png
23;2026-03-31;question gum;kissingly magnetize;cone finally nor;yin;industrialize;diligently;CD;../fake-data/blob/hipster.png;image/png
24;2026-03-31;cruelly case;hm bemuse miskey;atop under afore;below brood following;chubby;free meanwhile;through volleyball;../fake-data/blob/hipster.png;image/png
25;2026-03-31;jealously corrupt;unfortunately;analyse schnitzel insidious;shovel;gadzooks emerge;selfishly;wring;../fake-data/blob/hipster.png;image/png
26;2026-03-31;mispronounce describe;hmph achieve incidentally;boohoo fraternise;wherever abaft;indeed innovate;extroverted from;peter considering;../fake-data/blob/hipster.png;image/png
27;2026-03-31;merge obsess;consequently truthfully;outlandish judgementally properly;before;colorless furthermore unethically;delirious shampoo;vaguely finally border;../fake-data/blob/hipster.png;image/png
28;2026-03-31;phew ugh;gown ouch sunder;near slipper;collectivization beneficial obediently;gloat;woeful;likewise engender;../fake-data/blob/hipster.png;image/png
29;2026-03-31;briskly accompanist;psst instead hence;times strange yippee;boo;from circulate ouch;er along;bank separately;../fake-data/blob/hipster.png;image/png
30;2026-03-31;swathe cheerfully;yet pro across;possession beyond;nor continually;under;clinking when;taxicab reprove absentmindedly;../fake-data/blob/hipster.png;image/png
