id;set_number;release_date;notes;name_en;name_es;name_de;name_fr;description_en;description_es;description_de;description_fr;attributes;attributes_content_type
1;however old-fashioned till;2026-03-30;and;judgementally whose;where;with first exalted;huzzah tool;excluding till;airline;reproachfully;ouch gadzooks trusting;../fake-data/blob/hipster.png;image/png
2;towards embed hoick;2026-03-30;pish foot astride;annually;excluding;pretend;before;mmm collectivization;commodity sans;ack at worth;courageously since for;../fake-data/blob/hipster.png;image/png
3;surprise pish next;2026-03-31;because;honorable interchange;delight horde;vice;wordy thoughtfully;likewise psst;along instead amid;concerning;huff wherever membership;../fake-data/blob/hipster.png;image/png
4;readmit;2026-03-31;sneak yet;guilt;these blond;supposing sleepily;modulo loosely;as softly off;aside unless pretty;unfurl lashes;offset;../fake-data/blob/hipster.png;image/png
5;and;2026-03-31;phooey among mmm;clone unless regal;because inside excepting;mmm;vice shore anguished;furthermore;mmm;or fiercely handful;fedora badly hence;../fake-data/blob/hipster.png;image/png
6;blah from hollow;2026-03-31;ironclad austere;blend coaxingly;skyline tragic ameliorate;with;via maroon eventually;palate gadzooks;mid during;goodwill commemorate besides;while coolly marathon;../fake-data/blob/hipster.png;image/png
7;bolster oof;2026-03-30;guzzle hepatitis;merrily;provided each huzzah;hutch yearly;good ew flight;yet evenly nor;degenerate;boo oof watery;thread affectionate mid;../fake-data/blob/hipster.png;image/png
8;any usually making;2026-03-31;carelessly mad supposing;around opposite crazy;carefully;indeed violently;for on brr;restaurant;lotion above;unless;reluctantly;../fake-data/blob/hipster.png;image/png
9;ick;2026-03-31;each through punctually;yippee up;since;youthfully mid;sting;cautiously;reorient;lazily burdensome pricey;usher bookend onset;../fake-data/blob/hipster.png;image/png
10;suffice jumbo;2026-03-30;carelessly;unhappy cheetah;appertain;equally;upwardly gee concerning;sew;shred vastly;pfft;without yet;../fake-data/blob/hipster.png;image/png
11;where;2026-03-31;chasuble below;pry bonnet;huge however marten;while;unlike pace handle;innovate whether;worth;ick boohoo hm;pinion;../fake-data/blob/hipster.png;image/png
12;until;2026-03-31;meadow athwart frank;out rejigger duh;bliss;beside;especially;foolishly aha now;plait;whenever huzzah;hm er;../fake-data/blob/hipster.png;image/png
13;provided translation grandiose;2026-03-31;unethically hungry gee;whether onto;reapply;deceivingly noxious except;venom;make;chunter suddenly hmph;cruel;excluding;../fake-data/blob/hipster.png;image/png
14;for solemnly house;2026-03-30;with;mid brave;off beside ew;finally diligently;lively sticker;questioningly legitimize strictly;membership than;amazing ornery;supposing;../fake-data/blob/hipster.png;image/png
15;uncomfortable lustrous;2026-03-31;phooey luck calmly;selfishly yum oh;duh through;roughly and distinction;so;ick yum;sidetrack;broadly nor innocently;when;../fake-data/blob/hipster.png;image/png
16;following via athwart;2026-03-31;toe produce slope;healthily unnecessarily;hourly gadzooks;seemingly quizzically reproachfully;sizzle cleverly;geez;tired ew where;pace blank;yowza;../fake-data/blob/hipster.png;image/png
17;until intrepid hungrily;2026-03-31;boom vaguely;before after;palate acclaimed;markup careless teammate;sticky ape opposite;sentimental bad;eek armchair seriously;around mid;wonderfully;../fake-data/blob/hipster.png;image/png
18;per;2026-03-31;developing;crossly junior card;an;for;outside grok gosh;jumbo cornet;tinderbox dramatize;royal hourly airbrush;phew;../fake-data/blob/hipster.png;image/png
19;phooey proofread;2026-03-31;unused;incidentally;noted around um;trial;winding;mammoth garrote characterization;ack;smog since lazily;provided on other;../fake-data/blob/hipster.png;image/png
20;eek;2026-03-30;cloudy;secrecy;co-producer from unknown;overfeed forsaken along;finally inborn;cautious hourly frank;cop;suspiciously geez deep;throughout;../fake-data/blob/hipster.png;image/png
21;colorless;2026-03-31;unto;without disconnection;opera;trek depart;pro;whopping because anti;as embalm phooey;drag;far-flung discontinue;../fake-data/blob/hipster.png;image/png
22;dismal at;2026-03-30;furiously;degenerate;eyebrow silk;pertain willfully;kindheartedly absent upliftingly;vibraphone;banish calculus restaurant;upliftingly instead;hopelessly nor oof;../fake-data/blob/hipster.png;image/png
23;um next;2026-03-30;meh;trolley;mmm atop;gah decision;edge boggle;sweetly;hungrily brightly;catalog finally petal;readies;../fake-data/blob/hipster.png;image/png
24;drat during;2026-03-31;amongst;silt aha;anenst;ah that along;lock galoshes provided;role splay;federate unblinking;what provided freezing;close essence greatly;../fake-data/blob/hipster.png;image/png
25;fully ha hm;2026-03-31;inasmuch ick;chapel dependency along;to;lazy daintily;supposing huzzah phew;neat foolishly;thoughtfully dispose;square;though uproot sugary;../fake-data/blob/hipster.png;image/png
26;vice vibrant cannon;2026-03-31;nicely angrily less;that notwithstanding baseboard;apropos kit;within whereas onto;consequently pear;perfectly annual partridge;woot godparent towards;likewise favorite bravely;ew;../fake-data/blob/hipster.png;image/png
27;young;2026-03-30;likewise carefully desecrate;quietly once foolishly;ugh failing provided;worldly tomorrow;golden remark unless;cool boohoo rare;ick;monthly hmph;than how;../fake-data/blob/hipster.png;image/png
28;ultimately furthermore;2026-03-31;rigidly;old-fashioned twin;that finally how;yuck aboard excepting;so chow mmm;between frivolous pish;but forecast;between;clavicle irk;../fake-data/blob/hipster.png;image/png
29;yahoo aha mallard;2026-03-30;crackle nasalise;bolster;adrenalin;in-joke willfully besides;elliptical daily;blight;mmm incidentally big;innocently;hmph yowza;../fake-data/blob/hipster.png;image/png
30;around notwithstanding;2026-03-31;out fooey connect;since excepting thump;aw ick;soggy;underneath psst;airline decent;certainly below unless;designation intent;yowza tempting;../fake-data/blob/hipster.png;image/png
