id;name;description
1;before;till following tragic
2;till moment;rationalize than scorpion
3;zowie;absent
4;lest;unsightly wise
5;qua imagineer;suitcase
6;faithfully but;meh psst fishery
7;positively;nor
8;offset fond ah;gah mutate pro
9;shrilly provided;owlishly after
10;tremendously;elver infamous gosh
11;because;yearningly fortunately
12;ha hm;within gently nor
13;excluding;instead
14;circle liberalize outside;pro
15;accelerator what yowza;times spiteful brr
16;by;consequently finally
17;if;yum vivid
18;knowledgeably gadzooks despite;mortally provided
19;after mmm yellowish;sweetly
20;unibody;since
21;cauliflower while;hungrily but remark
22;likewise amidst stealthily;reflate offensively
23;bah;greatly throughout
24;forenenst thoughtfully skeletal;woot molasses athwart
25;delirious about;mmm grade
26;officially strait;disapprove heavily while
27;strait;since
28;segregate;yellowish upsell crystallize
29;disrespect;jovially pave
30;among nor;makeover
