id;name;description
1;chasuble foolhardy;while
2;ick fair travel;gee easily stake
3;than playfully past;hydrant alongside
4;shakily gah;mummify
5;govern certification;down painfully assist
6;until minus plain;more parched ocelot
7;seemingly;helplessly scarper however
8;lazily finer;buzzing
9;anti precious pace;dislocate ah separately
10;pivot psst eek;upon blah
11;ingratiate;inasmuch
12;how tinderbox;puritan redound eek
13;litter steak out;golden worriedly
14;eek;recovery ape politely
15;phooey;sans piglet
16;as physically;kiddingly monthly ick
17;yippee consequently;knavishly patiently
18;what ah;drat jeopardise moment
19;commonly;worldly
20;closely spherical before;eke depot
21;pave wherever;gadzooks for mob
22;unto good-natured;upside-down mixture advancement
23;vision brightly intend;plumber
24;yellowish;birth tensely castanet
25;furthermore;reproachfully blah
26;smoggy cheerfully swear;whoa
27;blah;wrongly unhealthy
28;apropos CD aw;urgently curl
29;although wallop;far fork
30;mentor descriptive;blah
