id;username;full_name
1;yowza injunction resort;given mockingly yowza
2;puff searchingly before;oh wobbly
3;crossly chase;ah demobilise provided
4;but yippee;pfft
5;whoever acceptable deflate;bah even
6;woot;though other
7;parody actually nor;mixed merry
8;limp cooperative;minus tenant yippee
9;but foot volleyball;blond ape inside
10;youthfully;saloon giving that
11;sympathetically crushing;ew who eek
12;upset slap outside;gnaw
13;moralise stupendous;although
14;for sanity;drat although
15;responsible vacation;redress newsprint aggressive
16;ew lively buck;case oblong
17;finally whereas;wherever
18;couch honestly towards;inside realistic
19;boo brr whether;within
20;provided where gape;satirise hence obediently
21;when;front
22;frenetically coolly oddly;tenement sting mad
23;round carefully;mechanically ew
24;spattering that;hoot
25;jaywalk statue;fully
26;profane habit;scale
27;huzzah golden likewise;ick readjust
28;wafer;fervently
29;clear-cut stir-fry;jury outdo
30;broadly blah best-seller;sermon
