id;title;description;is_public
1;alert;provided overload;true
2;deceivingly;birdbath account tensely;true
3;quickly veto;er;false
4;unearth exacerbate milky;reproachfully;true
5;parallel;reasonable nor;true
6;which veto towards;aha birdbath;true
7;likewise;chip whether furthermore;true
8;lavish fund;yesterday outlying;true
9;scented once finally;help abnormally;false
10;moist;yawningly upon;true
11;without;of;true
12;brr;yahoo yet;false
13;drat;next psst distinction;false
14;neck;pronoun joshingly garrote;true
15;tag ouch;crafty shore above;false
16;cautiously that;commodity;true
17;utterly gee boohoo;expostulate apud vivid;true
18;off;brave viciously loyally;false
19;likewise;futon;false
20;yippee mash;atop a good;false
21;bustling;pupil;false
22;although onto fraudster;er private before;false
23;gosh;if;false
24;breastplate;overstay because near;true
25;unfortunate ugh goat;recklessly purse;true
26;with unabashedly;boo pricey schlep;false
27;noisily;tired;true
28;puritan ring;how ha;true
29;likewise likewise;whenever awful circular;false
30;overstay thoughtfully;pish;false
