id;owned;wanted;date_added
1;true;true;2026-03-30
2;false;true;2026-03-31
3;true;false;2026-03-31
4;true;true;2026-03-30
5;false;false;2026-03-31
6;true;false;2026-03-31
7;true;true;2026-03-30
8;false;false;2026-03-31
9;false;false;2026-03-31
10;true;false;2026-03-31
11;false;false;2026-03-31
12;true;true;2026-03-30
13;true;false;2026-03-31
14;true;true;2026-03-30
15;true;true;2026-03-31
16;false;false;2026-03-30
17;true;false;2026-03-31
18;true;false;2026-03-30
19;false;false;2026-03-30
20;false;false;2026-03-30
21;false;true;2026-03-31
22;false;false;2026-03-31
23;false;true;2026-03-31
24;true;false;2026-03-31
25;false;false;2026-03-30
26;false;false;2026-03-31
27;true;false;2026-03-31
28;false;true;2026-03-30
29;true;false;2026-03-31
30;true;false;2026-03-31
