id;key;name;description
1;weakly;zowie ragged ha;yahoo hmph gastropod
2;frankly;dime zowie longingly;owlishly but
3;part;and;what hateful
4;so;shipper;engender woot ew
5;kissingly lay;border;minus meh
6;dismal since;efface schedule for;a tenement
7;phew trim;miserably;mockingly
8;ick glider unbalance;wildly yearn;co-producer handful
9;thigh hunger blindly;phew though oof;observe
10;plus;puny;sweatshop yak
11;fooey pfft next;ew discontinue off;yahoo mostly
12;besides skeletal;some;far
13;as;ouch;entice knight league
14;inasmuch calmly;kiddingly cool after;what
15;mortally;when connect since;whose whoa
16;gadzooks;ack fedora mothball;meander ick
17;over huzzah;ack;after galvanize meatloaf
18;elevation;encode dwell;deceivingly circa
19;tightly abaft;plain young;phooey misreport
20;hence phooey whoa;boldly heartfelt;pulverize pink searchingly
21;geez;publication indeed abacus;er maintainer
22;pressure fidget trolley;average arcade blindly;incidentally lively
23;uselessly beneath tectonics;pish mammoth;instead
24;gosh condense forenenst;lashes recompense afterwards;gah alb furthermore
25;burgeon duh;furthermore mmm geez;serene properly wicked
26;reassuringly fisherman;leading behind;meh
27;mostly;morbidity vastly apropos;whereas hmph livid
28;carefully accomplished clear-cut;likely till;pish upon
29;monumental rekindle likely;tuba;blah unless
30;brisk yowza;consequently;stylish aha
